ng,veclen,rpb,exec_name,cpu_cost (s),gpu_cost (s)
16384,16,16,mini_app_hip_4_LDS_NO_TRANSPOSE,3.6520000000000441E-3,1.40200000000001435E-3
16384,16,16,mini_app_hip_4_LDS_NO_TRANSPOSE_FUSE_EG_C,3.57799999999997009E-3,1.88599999999999879E-3
16384,16,16,mini_app_omp,3.58700000000000685E-3,4.33999999999989949E-4
16384,32,8,mini_app_hip_1,3.56299999999998285E-3,6.50999999999957168E-4
16384,32,8,mini_app_hip_1_LDS,3.73600000000001709E-3,4.95000000000023199E-4
16384,32,8,mini_app_hip_1_LDS_NO_TRANSPOSE,3.89400000000000857E-3,4.58999999999987196E-4
16384,32,8,mini_app_hip_1_LDS_NO_TRANSPOSE_FUSE_EG_C,3.59900000000001885E-3,5.39999999999984936E-4
16384,32,8,mini_app_hip_2,3.56099999999998085E-3,6.27000000000044189E-4
16384,32,8,mini_app_hip_2_LDS,3.67800000000001459E-3,3.77999999999989456E-4
16384,32,8,mini_app_hip_2_LDS_NO_TRANSPOSE,3.66700000000003135E-3,3.71999999999983455E-4
16384,32,8,mini_app_hip_2_LDS_NO_TRANSPOSE_FUSE_EG_C,2.37900000000001999E-3,3.86999999999970701E-4
16384,32,8,mini_app_hip_3,3.66899999999997783E-3,1.62400000000001432E-3
16384,32,8,mini_app_hip_3_LDS,3.55899999999997885E-3,1.46599999999996733E-3
16384,32,8,mini_app_hip_3_LDS_NO_TRANSPOSE,3.57699999999999685E-3,1.46699999999999608E-3
16384,32,8,mini_app_hip_3_LDS_NO_TRANSPOSE_FUSE_EG_C,3.55399999999997385E-3,1.04900000000002214E-3
16384,32,8,mini_app_hip_4,2.48400000000004173E-3,1.17999999999995886E-3
16384,32,8,mini_app_hip_4_LDS,3.51899999999999435E-3,1.00800000000000889E-3
16384,32,8,mini_app_hip_4_LDS_NO_TRANSPOSE,3.6280000000000201E-3,9.6299999999999164E-4
16384,32,8,mini_app_hip_4_LDS_NO_TRANSPOSE_FUSE_EG_C,3.59499999999995934E-3,9.75999999999976886E-4
16384,32,8,mini_app_omp,3.6130000000000051E-3,4.14999999999998703E-4
16384,64,4,mini_app_hip_1,3.76699999999996482E-3,4.33000000000016705E-4
16384,64,4,mini_app_hip_1_LDS,2.08900000000000752E-3,2.49999999999972466E-4
16384,64,4,mini_app_hip_1_LDS_NO_TRANSPOSE,3.51599999999999135E-3,4.3799999999999395E-4
16384,64,4,mini_app_hip_1_LDS_NO_TRANSPOSE_FUSE_EG_C,3.52800000000003111E-3,4.12999999999996703E-4
16384,64,4,mini_app_hip_2,3.78200000000000758E-3,4.37000000000020705E-4
16384,64,4,mini_app_hip_2_LDS,3.6019999999999941E-3,3.22000000000044473E-4
16384,64,4,mini_app_hip_2_LDS_NO_TRANSPOSE,3.5740000000000216E-3,3.13000000000007716E-4
16384,64,4,mini_app_hip_2_LDS_NO_TRANSPOSE_FUSE_EG_C,3.52400000000002711E-3,2.52000000000029978E-4
